2020-12-12 00:34:44+07, done pomodoro
2020-12-12 00:34:48+07, done short break
2020-12-12 00:34:52+07, done pomodoro
2020-12-12 00:34:56+07, done short break
2020-12-12 00:35:00+07, done pomodoro
2020-12-12 00:35:04+07, done short break
2020-12-12 00:35:08+07, done pomodoro
2020-12-12 00:35:13+07, done long break
2020-12-12 00:35:17+07, done pomodoro
2020-12-12 00:35:21+07, done short break
2020-12-12 00:35:25+07, done pomodoro
2020-12-12 00:35:29+07, done short break
2020-12-12 00:35:33+07, done pomodoro
2020-12-12 00:35:37+07, done short break
2020-12-12 00:47:34+07, done pomodoro
2020-12-12 00:47:38+07, done short break
2020-12-12 00:47:42+07, done pomodoro
2020-12-12 00:47:46+07, done short break
2020-12-12 00:48:58+07, done pomodoro
2020-12-12 00:49:02+07, done short break
2020-12-12 00:49:06+07, done pomodoro
2020-12-12 00:49:10+07, done short break
2020-12-12 00:49:14+07, done pomodoro
2020-12-12 00:49:18+07, done short break
2020-12-12 00:49:22+07, done pomodoro
2020-12-12 00:49:27+07, done long break
2020-12-12 00:49:31+07, done pomodoro
2020-12-12 00:49:35+07, done short break
2020-12-12 00:51:19+07, done pomodoro
2020-12-12 00:51:23+07, done short break
2020-12-12 00:51:27+07, done pomodoro
2020-12-12 00:51:42+07, done pomodoro
2020-12-12 00:52:34+07, done pomodoro
2020-12-12 00:52:38+07, done short break
2020-12-12 00:52:42+07, done pomodoro
2020-12-12 00:57:03+07, done pomodoro
2020-12-12 00:57:08+07, done short break
2020-12-12 00:57:12+07, done pomodoro
2020-12-12 00:57:16+07, done short break
2020-12-12 00:57:20+07, done pomodoro
2020-12-12 00:57:24+07, done short break
2020-12-12 00:57:28+07, done pomodoro
2020-12-12 00:57:31+07, done pomodoro
2020-12-12 00:57:33+07, done long break
2020-12-12 00:57:35+07, done short break
2020-12-12 00:57:37+07, done pomodoro
2020-12-12 00:57:39+07, done pomodoro
2020-12-12 00:57:41+07, done short break
2020-12-12 00:57:43+07, done short break
2020-12-12 00:57:45+07, done pomodoro
2020-12-12 00:57:47+07, done pomodoro
2020-12-12 00:57:49+07, done short break
2020-12-12 00:57:53+07, done pomodoro
2020-12-12 00:57:55+07, done pomodoro
2020-12-12 00:57:57+07, done short break
2020-12-12 00:57:59+07, done short break
2020-12-12 00:58:01+07, done pomodoro
2020-12-12 00:58:03+07, done pomodoro
2020-12-12 00:58:06+07, done long break
2020-12-12 00:58:08+07, done short break
2020-12-12 00:58:10+07, done pomodoro
2020-12-12 00:58:12+07, done pomodoro
2020-12-12 00:58:14+07, done short break
